Iteration: #188, Cost: 8895.31, Gradient Magnitude: 120.89
Iteration: #189, Cost: 8859.43, Gradient Magnitude: 120.66
Iteration: #190, Cost: 8823.71, Gradient Magnitude: 120.43
Iteration: #191, Cost: 8788.15, Gradient Magnitude: 120.20
Iteration: #192, Cost: 8752.74, Gradient Magnitude: 119.99
Iteration: #193, Cost: 8717.50, Gradient Magnitude: 119.78
Iteration: #194, Cost: 8682.42, Gradient Magnitude: 119.59
Iteration: #195, Cost: 8647.50, Gradient Magnitude: 119.41
Iteration: #196, Cost: 8612.74, Gradient Magnitude: 119.26
Iteration: #197, Cost: 8578.15, Gradient Magnitude: 119.15
Iteration: #198, Cost: 8543.74, Gradient Magnitude: 119.11
Iteration: #199, Cost: 8509.53, Gradient Magnitude: 119.24
Iteration: #200, Cost: 8475.58, Gradient Magnitude: 119.90
Iteration: #201, Cost: 8442.38, Gradient Magnitude: 127.01
Iteration: #202, Cost: nan, Gradient Magnitude: 117.50
Iteration: #203, Cost: nan, Gradient Magnitude: 118.57
Iteration: #204, Cost: nan, Gradient Magnitude: 523.43
Iteration: #205, Cost: nan, Gradient Magnitude: 115.48
Iteration: #206, Cost: nan, Gradient Magnitude: 116.20
Iteration: #207, Cost: nan, Gradient Magnitude: 115.79
Iteration: #208, Cost: nan, Gradient Magnitude: 115.58
Iteration: #209, Cost: nan, Gradient Magnitude: 115.34
Iteration: #210, Cost: nan, Gradient Magnitude: 115.12
Iteration: #211, Cost: nan, Gradient Magnitude: 114.90
Iteration: #212, Cost: nan, Gradient Magnitude: 114.69
Iteration: #213, Cost: nan, Gradient Magnitude: 114.48
Iteration: #214, Cost: nan, Gradient Magnitude: 114.26
Iteration: #215, Cost: nan, Gradient Magnitude: 114.05
Iteration: #216, Cost: nan, Gradient Magnitude: 113.83
Iteration: #217, Cost: nan, Gradient Magnitude: 113.62
Iteration: #218, Cost: nan, Gradient Magnitude: 113.40
Iteration: #219, Cost: nan, Gradient Magnitude: 113.18
Iteration: #220, Cost: nan, Gradient Magnitude: 112.95
Iteration: #221, Cost: nan, Gradient Magnitude: 112.73
Iteration: #222, Cost: nan, Gradient Magnitude: 112.50
Iteration: #223, Cost: nan, Gradient Magnitude: 112.28
Iteration: #224, Cost: nan, Gradient Magnitude: 112.05
Iteration: #225, Cost: nan, Gradient Magnitude: 111.83
